Status,Listing Office 1 - Office Code,Price,Days On Market,Approx Sq Ft,Status Date
SOLD,1186,"$635,000 ",7,735,2/8/17
SOLD,64,"$295,500 ",17,405,2/16/17
SOLD,66,"$340,000 ",8,479,2/21/17
SOLD,151,"$380,000 ",0,467,2/27/17
SOLD,1603,"$470,000 ",56,649,3/1/17
SOLD,1623,"$700,000 ",6,1006,3/2/17
SOLD,1623,"$335,000 ",41,425,3/10/17
SOLD,1603,"$745,000 ",56,1324,3/10/17
SOLD,1623,"$750,000 ",4,1225,3/13/17
SOLD,1623,"$599,000 ",11,925,3/15/17
SOLD,1186,"$575,000 ",20,812,3/15/17
SOLD,156,"$1,585,000 ",10,2102,3/16/17
SOLD,5464,"$525,000 ",7,,3/17/17
SOLD,1283,"$602,000 ",7,805,3/17/17
SOLD,1623,"$545,000 ",9,646,3/20/17
SOLD,64,"$775,000 ",9,1186,3/20/17
SOLD,64,"$550,000 ",13,725,3/20/17
SOLD,1698,"$469,000 ",30,789,3/20/17
SOLD,64,"$755,000 ",12,1163,3/21/17
SOLD,66,"$539,000 ",11,791,3/21/17
SOLD,1580,"$506,000 ",10,700,3/21/17
SOLD,1526,"$483,000 ",21,720,3/23/17
SOLD,1598,"$360,000 ",14,550,3/23/17
SOLD,1641,"$855,000 ",7,1237,3/24/17
SOLD,151,"$510,000 ",4,747,3/24/17
SOLD,1568,"$685,000 ",7,771,3/28/17
SOLD,1186,"$755,000 ",13,868,3/28/17
SOLD,5845,"$1,385,000 ",21,2271,3/28/17
SOLD,150,"$345,000 ",8,450,3/28/17
SOLD,298,"$1,705,000 ",8,1812,3/28/17
SOLD,1641,"$1,042,000 ",12,,3/28/17
SOLD,64,"$585,000 ",4,800,3/28/17
SOLD,1623,"$770,000 ",14,1235,3/28/17
SOLD,1186,"$700,000 ",29,950,3/28/17
SOLD,1186,"$1,099,000 ",11,1597,3/28/17
SOLD,1603,"$575,000 ",3,856,3/28/17
SOLD,1186,"$771,000 ",0,1166,3/30/17
SOLD,1623,"$818,000 ",5,1319,3/31/17
SOLD,1568,"$576,500 ",4,700,3/31/17
SOLD,1623,"$625,000 ",2,735,4/1/17
SOLD,1623,"$1,905,000 ",5,,4/2/17
SOLD,1186,"$850,000 ",6,1380,4/3/17
SOLD,298,"$456,000 ",8,600,4/3/17
SOLD,1186,"$530,000 ",20,679,4/3/17
SOLD,5970,"$436,000 ",26,671,4/3/17
SOLD,1623,"$505,000 ",41,792,4/4/17
